Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
39,6104046,,5.0,40.0,"Худ 19 хороо дөл хотхонд 72,86м2 3 өрөө",255 сая ₮,2024-03-18,20:07,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 15","
ХУД 15 хороо Дөл хотхонд 72.66м2 3өрөө худалдана
✅ Хүн амьдраагүй шинэ байр
✅ Баруун болон хойш харсан цонхтой,
✅ 115 сургууль ойрхон, Гадна зогсоол сайтай, хашаатай.",https://www.unegui.mn/adv/6104046_khud-15-khoroo-dol-khotkhond-72-62m2-bair/,Паркет,1 тагттай,2016.0,Байгаа,Вакум,9.0,Төмөр,73.0 м²,3.0,Банкны лизингтэй,5.0,Ашиглалтад орсон,
38,6118628,"2.7 сая ₮
Гарден вилла 4 өрөө 74.34м2
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",1.0,39.0,,,,,,,,,,,,,,,,,,,,,,
38,6118628,,1.0,39.0,Гарден вилла 4 өрөө 74.34м2,2.7 сая ₮,2024-03-15,14:21,,4 өрөө,"УБ — Хан-Уул, Яармаг","
Гарден Вилла хотхонд 3 өрөөг 4 болгосон сайхан байраа яаралтай хямд зарлаа.
-фэнгшуй зохион байгуулалт зөв,
-2 цонх урагшаа, 3 цонх баруун зүг харсан, баруун талдаа болконтой,
-цонх халхлагдаагүй тул үзэгдэц, агаар сэлгэлт маш сайхан,
-өвөлдөө маш дулаахан -машины зогсоол хангалттай сайн,
-гал тогооны шинээр хийлгэсэн тавилга үлдээж болно,
-хотхоны 100 м дотроо цэцэрлэг, сургууль, М март, Оргил, барилгын материалын дэлгүүр мөн өрхийн эмнэлэг болон дүүргийн нэгдсэн эмнэлэг, цагдаагийн хэлтэс, хорооны ЗДТГ нэг дор ойрхон байрлалтай.",https://www.unegui.mn/adv/6118628_garden-villa-khotkhond-4-oroo-bolgoson-3-oroo/,Паркет,1 тагттай,2021.0,Байхгүй,Вакум,16.0,Бүргэд,74.34 м²,11.0,Лизинггүй,5.0,Ашиглалтад орсон,
34,6122565,"171.94 сая ₮ 232.5 сая ₮
арга билиг хотхонд 2 өрөө байр 53.73м2
5 өдрийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",63.0,35.0,,,,,,,,,,,,,,,,,,,,,,
14,6153583,"260 сая ₮
Олимп хотхонд 3 өрөө байр 64.3m2
5 өдрийн өмнө
УБ — Баянзүрх, Олимп хотхон",61.0,15.0,,,,,,,,,,,,,,,,,,,,,,
36,6156318,"720 сая ₮
Ncd vega city 3 uruu 104 m2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",111.0,37.0,,,,,,,,,,,,,,,,,,,,,,
22,6169103,"Mandal
509.36 сая ₮
Energy luxury residence хотхонд 3 өрөө 113.19m2
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",58.0,23.0,,,,,,,,,,,,,,,,,,,,,,
43,6189441,"350 сая ₮
Hunnu tower-д 3 өрөө байр
1 сарын өмнө
УБ — Хан-Уул, Яармаг",154.0,44.0,,,,,,,,,,,,,,,,,,,,,,
30,6202650,"178.8 сая ₮
Худ 11 хороо зайсан толгойн зүүн талд 54.2м2 2өрөө
4 өдрийн өмнө
УБ — Хан-Уул, Зайсан",46.0,31.0,,,,,,,,,,,,,,,,,,,,,,
45,6265286,"215 сая ₮
Суис-ийн баруун хойно 58мкв 2 өрөө байр
Virtual tour
Өнөөдөр
УБ — Чингэлтэй, Чингэлтэй, Хороо 6",5.0,46.0,,,,,,,,,,,,,,,,,,,,,,
37,6265286,,5.0,38.0,Суис-ийн баруун хойно 58мкв 2 өрөө байр,215 сая ₮,2024-03-18,20:15,,2 өрөө,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6",,https://www.unegui.mn/adv/6265286_soiombo-tauert-27-davkhart-200mkv-offis/,Паркет,1 тагттай,2010.0,Байхгүй,Вакум,12.0,Төмөр,58.6 м²,10.0,Лизинггүй,3.0,Ашиглалтад орсон,
20,6277301,"110 сая ₮
Баянзүрх 2 өрөө байр 44м2
Өнөөдөр
УБ — Баянзүрх, Өгөөмөр захын зүүн",4.0,21.0,,,,,,,,,,,,,,,,,,,,,,
