N,id,data,ad_page,ad_order
124,6790356,"Remax Sky Onon
985.6 сая ₮
Bella vista тансаг зэрэглэлийн хотхонд 154мкв 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Bella Vista",30,16
125,6828337,"121 сая ₮
Бзд, цэргийн хотхонд 51м² 2 өрөө орон сууц
1 долоо хоногийн өмнө
УБ — Баянзүрх",65,35
126,6833296,"Remax HUB Tugsbileg
458 сая ₮
Солонгос элчингийн хажууд global town a блокт 3 өрөө
8 сарын өмнө
УБ — Хан-Уул, 120 мянгат",140,11
127,6833581,"198 сая ₮
Арвай хотхон 2өрөө 55,17м2
1 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",94,18
128,6833591,"153.25 сая ₮
Арвай хотхон 2 өрөө 47,89м2
2 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",121,21
129,6849129,"199 сая ₮
Тэнгисийн хойно гал тогоо тусдаа 2 өрөө байр 65мкв
3 өдрийн өмнө
УБ — Чингэлтэй, Чингэлтэй",29,6
130,6849404,"2.7 сая ₮
Шинэ хороолол 2 өрөө байр 58м2
3 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",136,14
131,6853944,"180 сая ₮ 200 сая ₮
Хангай хотхоны зүүн талд 2 өрөө байр 59м2
3 долоо хоногийн өмнө
УБ — Сүхбаатар, 100 айл",126,11
132,6856634,"190.74 сая ₮
Яармаг арцат өргөө хотхонд 75 мкв 3 өрөө байр
Өчигдөр
УБ — Хан-Уул, Яармаг",13,54
133,6866683,"150 сая ₮ 160 сая ₮
Бзд кино үйлдвэр happy town-д 2 өрөө
2 өдрийн өмнө
УБ — Баянзүрх, Зүүн 4 зам",20,7
134,6876427,"Remax Sky Bulgantuul
3.23 сая ₮ 4.5 сая ₮
Lite city multi house хотхонд 3 өрөө дүплекс 93м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Хан-Уул, Хороо 4",83,12
135,6882388,"215 сая ₮
Хан уул 61.51мкв 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",73,21
136,6892098,"275 сая ₮
Төмөр замын арктай шард 100 мкв 3 өрөө
4 өдрийн өмнө
УБ — Баянгол, Төмөр зам",39,35
137,6898215,"3.9 сая ₮
Jargalan hothond 4 uruu bair 139.8m2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",61,60
138,6899222,"75 сая ₮
16-р хороолол саруул тэнгэр 2 хороолол 1 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",76,25
139,6902103,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө байр 78м2
2 өдрийн өмнө
УБ — Хан-Уул, Яармаг",21,8
140,6902776,"370.88 сая ₮
Худ 15-р хороо, 115-р сургуулийн баруун талд 4өрөө
1 цагийн өмнө
УБ — Хан-Уул, Зайсан",3,4
141,6908889,"Remax Sky Altantuul
357 сая ₮
Худ, 19-р хороо шинэ мөрөөдөл хотхонд 105.74 мкв 3 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, 19-р хороолол",22,50
142,6921508,"165 сая ₮
Тэмүүлэл хотхонд 3 өрөө
2 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",115,10
143,6922590,"257 сая ₮
Нисэхэд төгс орчин таун хотхонд 91.08мв 4 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, Нисэх",23,54
144,6933367,"182.4 сая ₮
Хангай хотхоны баруун талд 57мкв 2өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Дөлгөөн нуур",82,10
145,6941493,"171.81 сая ₮
Кайду сити хотхонд 2 өрөө байр
3 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 8",137,36
146,6948549,"350 сая ₮ 371.48 сая ₮
Sunshine village хотхонд 3 өрөө байр 82м2
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",83,24
147,6949340,"Remax Sky Bat-Uchral
350 сая ₮ 371.48 сая ₮
Sunshine village хотхонд 3 өрөө байр 82.55м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",104,49
148,6955792,"Remax Sky Uyanga
1.45 Тэрбум ₮
Japan town c𝟓 блокд 133.5м2 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",118,55
149,6955798,"Remax Sky Uyanga
1.95 Тэрбум ₮ 2.05 Тэрбум ₮
Japan town c4 блокд 252м2 4 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Japan town",72,9
150,6956506,"110 сая ₮ 130 сая ₮
21-р хороололд 3н өрөө байр 80м2
Өнөөдөр
УБ — Сонгинохайрхан, 21-р хороолол",11,46
151,6956717,"1.45 Тэрбум ₮
Japan town 𝐂𝟓 блокд 133.5м2 , 3 өрөө байр.
5 өдрийн өмнө
УБ — Хан-Уул, Japan town",51,4
152,6962220,"184 сая ₮
Шинэ алтай хотхоны зүүн талд 61,5м2 2 өрөө
5 өдрийн өмнө
УБ — Баянгол, Алтай хотхон",55,2
153,6962909,"110 сая ₮
21-р хороололд 56.85мкв 2 өрөө
Өчигдөр
УБ — Сонгинохайрхан, 21-р хороолол",14,36
154,6964847,"5 сая ₮
Гантиг вилла хотхонд 279.8мк орон сууц
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",126,38
155,6970686,"126 сая ₮
Саруул хороололд 1 өрөө байр 33.4мкв
5 өдрийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 26",47,13
156,6974108,"1.23 Тэрбум ₮
Бага тэнгэр цогцолбор хотхонд 142м2 3өрөө байр
Өнөөдөр
УБ — Баянзүрх",11,45
157,6974636,"455 сая ₮
Japan town 3 өрөө 79.9 м2 байр
2 өдрийн өмнө
УБ — Хан-Уул, Japan town",21,9
158,6975551,"Turuu REInvestor
240 сая ₮
Яармаг riva residence 3 өрөө 84.5м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",82,40
159,6975570,"Munkhgerel
1.4 Тэрбум ₮
Japan town c5-д 3 өрөө 133.5m2
2 өдрийн өмнө
УБ — Хан-Уул, Japan town",15,57
160,6975769,"339.75 сая ₮
Garden city 2 т 3 өрөө байр
3 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",127,53
161,6979422,"208.92 сая ₮
Худ 19 хороо дөл хотхонд 63,31м2 2 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, 19-р хороолол",16,24
162,6994491,"Батцэцэг
1.35 Тэрбум ₮ 1.45 Тэрбум ₮
Худ, japan town c-5 хотхонд 3 өрөө
1 долоо хоногийн өмнө
УБ — Хан-Уул",94,38
163,7000682,"215 сая ₮
Намуун дэнж хотхон 2 өрөө 78м2
1 долоо хоногийн өмнө
УБ — Баянгол, 3, 4 хороолол",83,17
164,7001424,"Remax Sky Bulgantuul
3.25 сая ₮
Зайсангийн сүлд хотхонд 3 өрөө орон сууц
3 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",137,27
165,7002611,"Remax Sky Tumenbayar
185.5 сая ₮
Тарвалин хийд, поларис апартмент-д 3 өрөө байр 67м2
4 өдрийн өмнө
УБ — Баянзүрх, 15-р хороолол",45,10
166,7006732,"143 сая ₮ 150 сая ₮
Бзд-т 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",83,58
